id;x_px;y_px;x_cm;y_cm;color_b;color_g;color_r
0;194;195;11.02;11.09;165;184;156
0;127;127;7.22;7.20;116;149;91
0;128;127;7.27;7.21;118;147;95
0;218;216;12.57;12.44;199;211;184
0;213;214;12.29;12.34;181;200;175
0;209;209;12.03;12.05;188;203;173
0;214;214;12.32;12.35;187;205;181
0;217;218;13.22;13.27;184;202;179
0;213;214;13.01;13.03;172;191;165
0;214;214;12.24;12.25;185;201;172

1;249;250;15.20;15.24;179;197;172
1;203;203;13.44;13.46;169;189;162
1;246;247;14.05;14.12;198;210;185

2;289;290;16.52;16.61;200;214;190
2;241;241;15.92;15.91;182;200;177
2;227;228;15.03;15.07;182;200;175
2;255;254;15.53;15.51;188;205;182
2;285;286;17.39;17.41;182;199;174

3;326;326;18.65;18.65;201;216;193
3;289;290;17.61;17.66;181;198;173
3;274;275;18.13;18.16;177;195;169
3;295;295;17.98;17.99;188;205;181

4;314;314;20.78;20.79;175;196;170
4;320;320;21.14;21.14;152;151;137
4;338;337;20.59;20.55;185;203;179
4;338;339;20.61;20.63;161;159;145
4;329;330;20.08;20.12;181;200;174
